Date,Startup,Industry,SubVertical,Location,Investors,Round,AmountInCrores,URL,CleanedStartup,StandardizedStartup,InvestorsCleaned,Year
2020-05-05,"Classplus

",EduTech,"e-learning, education solutions.",Noida,"RTP Global, lume Ventures, Sequoia Capital India's Surge, Spiral Ventures, and Strive.",Series A,77.454,https://classplusapp.com/,classplus,classplus,"['rtp global', 'lume ventures', 'sequoia capital indias surge', 'spiral ventures', 'and strive']",2020.0
2020-04-15,"BigBasket
",E-commerce,Online Grocery Delivery,Bengaluru,Alibaba Group,Debt Financing,430.3,//www.bigbasket.com/”,bigbasket,bigbasket,['alibaba group'],2020.0
2020-04-09,Vedantu,EduTech,Online Tutoring,Bengaluru,Legend Capital,Series C1,108.09136,https://www.vedantu.com/,vedantu,vedantu,['legend capital'],2020.0
2020-04-08,Fingerlix,Food Delivery,Ready-to-Cook Food,Mumbai,"Accel, Zephyr Peacock, Swiggy, and RB Investments
",Series C,15.4908,//www.fingerlix.com/”,fingerlix,fingerlix,"['accel', 'zephyr peacock', 'swiggy', 'and rb investments']",2020.0
2020-04-08,"Zupee
",Gaming,Gaming,Gurugram,"Matrix Partners India, Falcon Edge Capital, WestCap Group, Orios Venture Partners and Smile Group

",Series A,68.848,//www.zupee.in/”,zupee,zupee,"['matrix partners india', 'falcon edge capital', 'westcap group', 'orios venture partners and smile group']",2020.0
2020-04-07,DeHaat,AgriTech,AgriTech,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,103.272,//agrevolution.in/”,dehaat,dehaat,"['sequoia capital india', 'fmo', 'omnivore and agfunder']",2020.0
2020-04-06,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, and Mirae Asset Capital Markets
",Series 1,370.058,,swiggy,swiggy,"['tencent', 'ark impact', 'korea investment partners', 'samsung ventures', 'and mirae asset capital markets']",2020.0
2020-04-02,Recko,Digital Reconcilation and Financial Services,AI-powered Reconciliation of Digital Transactions ,Bengaluru,Vertex Ventures Southeast Asia and India and Prime Venture Partners,Series A,51.636,//www.recko.io/”,recko,recko,['vertex ventures southeast asia and india and prime venture partners'],2020.0
2020-03-31,"Nykaa

",E-commerce,Cosmetic and Beauty Products,Mumbai, Steadview Capital,Series F,111.878,//www.nykaa.com/”,nykaa,nykaa,['steadview capital'],2020.0
2020-03-13,CollegeKhabri,EduTech,Education,Bhopal,Vdiec Global,Angel,,https://collegekhabri.com/,collegekhabri,collegekhabri,['vdiec global'],2020.0
2020-03-12,"FamPay
",Finance,Online Payment,Bengaluru,"Y Combinator, Venture Highway, Sequoia India, and GFC (Global Founders Capital). ",Seed,40.4482,https://fampay.in/,fampay,fampay,"['y combinator', 'venture highway', 'sequoia india', 'and gfc global founders capital']",2020.0
2020-03-12,"Ola Electric
",Transport,Cab and Bike Taxi,Bengaluru,Pawan Munjal Family Trust,Series B,8.606,,ola electric,ola electric,['pawan munjal family trust'],2020.0
2020-03-12,Mera Kisan ,Food Production,Organic Products,Pune,Ajinkya Rahane,Private Equity,,,mera kisan,mera kisan,['ajinkya rahane'],2020.0
2020-03-12,MultiLiving,Real Estate,Home Renting and Management ,Mumbai,Lodha Ventures,Series A,51.636,https://multiliving.co.in/,multiliving,multiliving,['lodha ventures'],2020.0
2020-03-06,"Paperboat
",E-commerce,Beverages and Snacks,Bengaluru,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt Financing,34.424,http://www.paperboatdrinks.com/,paperboat,paperboat,"['advent management', 'a91 emerging fund', 'and trifecta venture']",2020.0
2020-03-04,Soxytoes,E-commerce,Socks,Noida,Angel Networks,Angel,,https://soxytoes.com/,soxytoes,soxytoes,['angel networks'],2020.0
2020-03-02,Chqbook.com,Finance,Financial Services,Gurugram,Aavishkaar Capital,Series A,43.03,https://www.chqbook.com/,chqbookcom,chqbookcom,['aavishkaar capital'],2020.0
2020-02-19,Unacademy,EduTech,Online Tutoring,Bangalore,"General Atlantic, Sequoia Capital India, and Facebook",Series D,946.66,https://unacademy.com/,unacademy,unacademy,"['general atlantic', 'sequoia capital india', 'and facebook']",2020.0
2020-02-18,MaxWholesale,E-commerce,B2B platform for groceries,New Delhi,IAN Fund and Al Falaj Investment Co,Series A,25.818,https://www.maxwholesale.in/,maxwholesale,maxwholesale,['ian fund and al falaj investment co'],2020.0
2020-02-14,Simsim,E-commerce,E-commerce,New Delhi,Accel Partners,Series B,68.848,https://simsim.in/home,simsim,simsim,['accel partners'],2020.0
2020-02-14,Friyey,Co-working Spaces,Co-working Spaces,Pune,Tarun Bhalla,Seed,,https://www.friyey.com/,friyey,friyey,['tarun bhalla'],2020.0
2020-02-11,Moengage,Intelligent Marketing Cloud,Intelligent Marketing Cloud,San Francisco/ Bangalore,Eight Roads Ventures,Series C,215.15,https://www.moengage.com/,moengage,moengage,['eight roads ventures'],2020.0
2020-02-11,Chaayos,Cafe,Tea,New Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital

",Series B,185.029,https://www.chaayos.com/,chaayos,chaayos,"['think investment', 'tiger global', 'saif partners', 'integrated capital and neeraj arora and innoven capital']",2020.0
2020-02-10,"FirstCry
",E-commerce,Baby Products,Pune,Softbank Vision Fund,Series E,2547.376,https://www.firstcry.com/,firstcry,firstcry,['softbank vision fund'],2020.0
2020-02-10,Pepperfry,E-commerce,Furniture,Mumbai,Pidilite Industries,Series F,318.422,https://www.pepperfry.com/,pepperfry,pepperfry,['pidilite industries'],2020.0
2020-02-06,Dot,Information Technology and Services,Information Technology and Services,Gurgaon,PayU and Fosun RZ Capital,Seed,68.848,https://www.dotpe.in/,dot,dot,['payu and fosun rz capital'],2020.0
2020-02-05,AlphaVector,Transport,Bicycles,Mumbai,Avaana Capital and Titan Capital,Venture Series ,,https://www.frogcycles.in/,alphavector,alphavector,['avaana capital and titan capital'],2020.0
2020-02-05,WizKlub,EduTech,Online Tutoring,Bangalore,Incubate Fund India and Insitor Impact Asia Fund,Seed,8.606,https://wizklub.com/,wizklub,wizklub,['incubate fund india and insitor impact asia fund'],2020.0
2020-02-03,1mg,E-commerce,Medicine,Gurugram,Bill & Melinda Gates Foundation ,Venture Series,86.06,https://www.1mg.com/,1mg,1mg,['bill melinda gates foundation'],2020.0
2020-02-03,RACEnergy,Transportation,Electric Vehicle,Hyderabad,GrowX Ventures,Seed,,https://www.racenergy.in/,racenergy,racenergy,['growx ventures'],2020.0
2020-02-03,Embibe,EduTech,AI based learning,Mumbai,Reliance Industries Limited (RIL),Venture Series,108.65092212,https://www.embibe.com/,embibe,embibe,['reliance industries limited ril'],2020.0
2020-01-31,"Adonmo
",Advertising,Advertising,Hyderabad,BAce Capital,Pre-Series A,25.818,https://www.adonmo.com/,adonmo,adonmo,['bace capital'],2020.0
2020-01-31,DoubtNut,Education,Online Tutoring,Gurugram,Tencent Holdings,Series A,129.09,https://doubtnut.com/,doubtnut,doubtnut,['tencent holdings'],2020.0
2020-01-30,MultiplyMyLeads,Real Estate,Real Estate,New Delhi,Frontline Strategy Funds and SucSEED Venture Partners.,Venture Series,,https://www.multiplymyleads.com/,multiplymyleads,multiplymyleads,['frontline strategy funds and sucseed venture partners'],2020.0
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,77.454,https://www.pando.in/,pando,pando,['chiratae ventures'],2020.0
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,69.264478764,http://shuttl.com/,shuttl,shuttl,['susquehanna growth equity'],2020.0
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1290.9,https://www.zomato.com/,zomato,zomato,['ant financial'],2020.0
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,157.99634916000002,http://mamaearth.in/,mamaearth,mamaearth,['sequoia capital india'],2020.0
2020-01-09,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1721.2,http://byjus.com/,byjus,byjus,['tiger global management'],2020.0
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,15.4908,https://fashor.com/,fashor,fashor,['sprout venture partners'],2020.0
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,25.818,,httpswwwwealthbucketin,httpswwwwealthbucketin,['vinod khatumal'],2020.0
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1987.986,http://www.lenskart.com/,lenskartcom,lenskartcom,['softbank vision fund'],2019.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,103.272,http://www.healthians.com/,healthians,healthians,"['paytm', 'nptk', 'sabre partners and neoplux']",2019.0
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,50.7754,http://www.incred.com/,incred,incred,[],2019.0
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,258.18,http://www.licious.in/,licious,licious,['vertex growth fund'],2019.0
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,17.212,https://trell.co/,trell,trell,['ruizheng investment'],2019.0
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,172.12,http://rivigo.com/,rivigo,rivigo,"['saif partners', 'spring canter investment ltd']",2019.0
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.636,https://ecozensolutions.com/,ecozen,ecozen,['sathguru catalyzer advisors'],2019.0
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,430.3,https://www.reingames.com/,rein games,rein games,['manipal education and medical group memg'],2019.0
2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,602.42,http://www.cardekho.com/,cardekho,cardekho,['ping an global voyager fund'],2019.0
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,430.3,https://www.dhruvaspace.com/,dhruva space,dhruva space,"['mumbai angels', 'ravikanth reddy']",2019.0
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round ,8606.0,https://paytm.com/,paytm,paytm,['vijay shekhar sharma'],2019.0
2019-11-20,Aye Finance ,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,149.84134659,http://www.ayefin.com/,aye finance,aye finance,['fintech'],2019.0
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1161.81,http://www.clumio.com/,clumio,clumio,"['altimeter capital', 'sutter hill ventures']",2019.0
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1893.32,http://www.digitalmallofasia.com/,digital mall asia,digital mall asia,['amour infrastructure'],2019.0
2019-11-19,Furtados School of Music,Education,Music Education,Tulangan, IAN Fund and DSG Consumer Partners,,1721.2,http://furtadosschoolofmusic.com/,furtados school of music,furtados school of music,['ian fund and dsg consumer partners'],2019.0
2019-11-18,Healthians,Health and Wellness,Healthcare services ,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,103.272,http://www.healthians.com/,healthians,healthians,"['dg daiwa ventures', 'dg incubation']",2019.0
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,135.9748,https://www.medikabazaar.com/,medikabazaar,medikabazaar,"['ackermans van haaren', 'healthquad', 'rebright partners', 'toppan printing']",2019.0
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,,http://burgersinghonline.com/,burger singh,burger singh,['rb investments'],2019.0
2019-11-15,Ninjacart,B2B Marketing,Agritech ,Bengaluru,Trifecta Capital Advisors,Debt Funding,223.756,http://ninjacart.com/,ninjacart,ninjacart,['trifecta capital advisors'],2019.0
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2435.498,http://www.vogo.in/,vogo automotive,vogo automotive,"['matrix partners', 'stellaris venture partners', 'kalaari capital']",2019.0
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.182516,https://misters.in/en/,misters,misters,"['saucevc', 'rainforest ventures']",2019.0
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.909,http://sunstone.edu.in/,sunstone eduversity pvt,sunstone eduversity pvt,"['prime venture partners', 'letsventure', 'ps1 venture and globallogic cofounder rajul garg']",2019.0
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1290.9,https://www.freshworks.com/,freshworks,freshworks,"['sequoia', 'capitalg', 'accel']",2019.0
2019-11-12,SuperGaming ,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,11.1878,https://supergaming.net/,supergaming,supergaming,['dream incubator'],2019.0
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.5818,http://www.ebikego.in/,ebikego,ebikego,['startup buddy'],2019.0
2019-10-21,"The Man Company 
",Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,,http://www.themancompany.com/,the man company,the man company,['ayushmann khurana'],2019.0
2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,387.27,http://dunzo.in/,dunzo,dunzo,['lightbox'],2019.0
2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,5034.51,https://udaan.com/,udaan,udaan,"['altimeter capital', 'dst global']",2019.0
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,38.727,https://onescore.app/,fpl technologies,fpl technologies,"['matrix partners india', 'sequoia india']",2019.0
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,154.908,http://75f.io/,75f,75f,['breakthrough energy ventures'],2019.0
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,28.3998,https://www.cashflo.io/,cashflo,cashflo,['saif partners'],2019.0
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,51.636,http://www.digitalf5.com/,digital f5,digital f5,['tiw private equity'],2019.0
2019-09-04,3rdFlix,SaaS,Education Technology ,Hyderabad,Exfinity Venture Partners,pre-series A,43.03,https://3rdflix.com/,3rdflix,3rdflix,['exfinity venture partners'],2019.0
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.606,http://myelinfoundry.com/,myelin foundry,myelin foundry,['endiya partners'],2019.0
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,86.06,http://atomberg.com/,atomberg technology,atomberg technology,['a91 partners'],2019.0
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3872.7,http://goqii.com/,goqii,goqii,['bennett coleman and company ltd bccl'],2019.0
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,43.03,https://vyaparapp.in/,vyapar app,vyapar app,"['india quotient', 'axilor ventures']",2019.0
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,33563.4,https://www.rapido.bike/,rapido bike taxi,rapido bike taxi,['westbridge capital'],2019.0
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,946.66,http://tala.co/,tala,tala,['rps ventures'],2019.0
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,318.422,http://www.zendrive.com/,zendrive,zendrive,['xl innovate'],2019.0
